Date,HDFCBANK.NS,ICICIBANK.NS
2021-03-19,709.1978149414062,567.400634765625
2021-03-22,695.7715454101562,554.6336669921875
2021-03-23,710.4528198242188,567.1588134765625
2021-03-24,700.3416748046875,548.87890625
2021-03-25,693.0247802734375,552.7960815429688
2021-03-26,706.2615356445312,559.5662841796875
2021-03-30,735.8133544921875,572.0430297851562
2021-03-31,707.3743896484375,562.9998168945312
2021-04-01,704.106689453125,574.8963012695312
2021-04-05,686.512939453125,552.505859375
2021-04-06,682.0848388671875,547.3314819335938
2021-04-07,685.3762817382812,558.6958618164062
2021-04-08,678.556640625,557.777099609375
2021-04-09,673.323486328125,547.6216430664062
2021-04-12,647.418212890625,520.8787841796875
2021-04-13,663.1886596679688,542.205322265625
2021-04-15,677.27783203125,556.3262939453125
2021-04-16,676.59130859375,548.3469848632812
2021-04-19,668.8954467773438,541.3831787109375
2021-04-20,658.9500732421875,540.7545776367188
2021-04-22,673.6786499023438,560.1950073242188
2021-04-23,669.7242431640625,551.24853515625
2021-04-26,665.296142578125,571.7045288085938
2021-04-27,681.3507080078125,579.1035766601562
2021-04-28,699.39453125,600.9619750976562
2021-04-29,697.3580322265625,601.0587158203125
2021-04-30,668.84814453125,580.7960815429688
2021-05-03,669.8662719726562,577.1692504882812
2021-05-04,657.505615234375,572.1398315429688
2021-05-05,664.2542724609375,583.0206298828125
2021-05-06,663.44921875,588.2434692382812
2021-05-07,670.0083618164062,587.1795654296875
2021-05-10,672.4236450195312,593.1277465820312
2021-05-11,664.7041625976562,589.8392944335938
2021-05-12,662.7861938476562,575.2348022460938
2021-05-14,656.7952880859375,577.7011108398438
2021-05-17,682.0848388671875,603.1381225585938
2021-05-18,699.3471069335938,612.4232177734375
2021-05-19,690.5857543945312,604.9274291992188
2021-05-20,678.556640625,598.30224609375
2021-05-21,709.1030883789062,621.3696899414062
2021-05-24,715.0938720703125,626.10888671875
2021-05-25,700.4127197265625,628.9620971679688
2021-05-26,699.512939453125,631.0899047851562
2021-05-27,702.1649169921875,630.8480834960938
2021-05-28,712.015625,621.9500122070312
2021-05-31,717.8880615234375,641.0035400390625
2021-06-01,715.9226684570312,628.7686157226562
2021-06-02,712.2760009765625,627.0759887695312
2021-06-03,720.114013671875,628.9137573242188
2021-06-04,710.8316650390625,621.6114501953125
2021-06-07,710.3107299804688,626.9310302734375
2021-06-08,702.3544311523438,621.3213500976562
2021-06-09,701.052001953125,615.2279663085938
